# cen dN/deta(ch)  dN/deta(ch)_err  dN/dy dN/dy_err(pi^+, pi^-, K^+, K^-, p, pbar)
2.5 6.69421e+02 5.27109e+00 3.10395e+02 2.43913e+00 3.10608e+02 2.45041e+00 5.67352e+01 4.28050e-01 5.67664e+01 4.36403e-01 1.63599e+01 1.26525e-01 1.62694e+01 1.18787e-01
7.5 5.32566e+02 4.17114e+00 2.46807e+02 1.94160e+00 2.46761e+02 1.92082e+00 4.55105e+01 3.52260e-01 4.54600e+01 3.53655e-01 1.32571e+01 9.42045e-02 1.32550e+01 1.02993e-01
15 4.03718e+02 3.47139e+00 1.86933e+02 1.61275e+00 1.86979e+02 1.60971e+00 3.47709e+01 2.92147e-01 3.47748e+01 2.86586e-01 1.02927e+01 8.16881e-02 1.03524e+01 8.27653e-02
25 2.70391e+02 3.01389e+00 1.25162e+02 1.39901e+00 1.25117e+02 1.39544e+00 2.35925e+01 2.55125e-01 2.35796e+01 2.55808e-01 7.16878e+00 7.28632e-02 7.17005e+00 7.13984e-02
35 1.76530e+02 2.03289e+00 8.16974e+01 9.40265e-01 8.16939e+01 9.42119e-01 1.56100e+01 1.74983e-01 1.56200e+01 1.76497e-01 4.89070e+00 5.15632e-02 4.88306e+00 5.02696e-02
45 1.02356e+02 1.49331e+00 4.73915e+01 6.95372e-01 4.73771e+01 6.95451e-01 9.22037e+00 1.30783e-01 9.19937e+00 1.29701e-01 3.00525e+00 3.91814e-02 3.01054e+00 3.99818e-02
55 5.49483e+01 8.89790e-01 2.53174e+01 4.14662e-01 2.53244e+01 4.15087e-01 5.02720e+00 7.95808e-02 5.03191e+00 7.97237e-02 1.74430e+00 2.45334e-02 1.74305e+00 2.45649e-02
65 2.85320e+01 5.63519e-01 1.30048e+01 2.62107e-01 1.30085e+01 2.61991e-01 2.64672e+00 5.17324e-02 2.64854e+00 5.15560e-02 9.84179e-01 1.74702e-02 9.84577e-01 1.72831e-02
75 1.11926e+01 2.78345e-01 4.98035e+00 1.28734e-01 4.97951e+00 1.28628e-01 1.03685e+00 2.63100e-02 1.03829e+00 2.64062e-02 4.24753e-01 9.99862e-03 4.25563e-01 1.00601e-02
85 3.58978e+00 1.25921e-01 1.54448e+00 5.51574e-02 1.54659e+00 5.52125e-02 3.21591e-01 1.16246e-02 3.21829e-01 1.15987e-02 1.37945e-01 5.11331e-03 1.37865e-01 5.10210e-03
95 5.53407e-01 3.77174e-02 2.45476e-01 1.63270e-02 2.45387e-01 1.63064e-02 4.57026e-02 3.32916e-03 4.57687e-02 3.32939e-03 1.36285e-02 1.25273e-03 1.35702e-02 1.25232e-03
