#Averaged from https://arxiv.org/pdf/1509.06727.pdf
2.5     687.4   36.6
7.5     560.4   27.9
15      414.15  20.25
25      274.05  14.8
35      176.8   11.55
45      109.4   9.1
55      61.55   7.05
